"playerID","yearID","G","G_batting","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","G_old"
"schwaky01",2023,160,160,585,108,115,19,1,47,104,0,2,126,215,5,6,0,3,4,NA
"seageco01",2023,119,119,477,88,156,42,0,33,96,2,1,49,88,9,4,0,6,9,NA
"seaglch01",2023,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"segurje01",2023,85,85,301,25,66,5,2,3,21,6,2,22,47,1,2,1,0,12,NA
"semiema01",2023,162,162,670,122,185,40,4,29,100,14,3,72,110,1,5,0,5,5,NA
"senzeni01",2023,104,104,301,49,71,10,0,13,42,6,2,26,74,0,1,0,2,9,NA
"servebr01",2023,11,11,23,0,3,1,0,0,1,0,0,0,10,0,0,0,0,0,NA
"sheetga01",2023,118,118,311,24,63,10,0,10,43,1,0,28,66,2,1,0,4,6,NA
"shewmbr01",2023,2,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
"shortza01",2023,112,110,221,17,45,9,0,7,33,5,0,28,66,0,0,3,1,3,NA
"sianimi01",2023,8,8,5,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,NA
"singljo02",2023,36,36,91,11,15,3,0,2,12,0,0,13,23,0,0,0,1,2,NA
"sirijo01",2023,101,101,338,58,75,13,2,25,56,12,3,20,130,0,2,1,3,5,NA
"slateau01",2023,89,89,185,24,50,9,0,5,20,2,2,20,58,0,2,0,0,2,NA
"smithca04",2023,15,15,32,3,4,1,1,0,5,1,0,4,16,0,0,0,1,1,NA
"smithdo02",2023,153,153,527,57,134,21,1,12,46,1,1,47,91,1,10,0,2,12,NA
"smithjo09",2023,90,90,195,29,36,8,1,6,15,1,0,25,55,0,9,2,1,3,NA
"smithke05",2023,49,49,135,15,25,4,0,5,11,1,0,5,51,0,1,5,0,3,NA
"smithpa04",2023,69,69,191,26,36,5,0,7,30,1,1,35,45,0,1,0,0,3,NA
"smithwi05",2023,126,126,464,80,121,21,2,19,76,3,0,63,89,2,15,0,12,8,NA
"soderty01",2023,45,45,125,9,20,1,0,3,7,0,0,11,43,0,1,0,1,6,NA
"solando01",2023,134,134,394,43,111,26,1,5,38,0,0,40,100,1,15,0,1,8,NA
"solerjo01",2023,137,137,504,77,126,24,0,36,75,1,0,66,141,4,6,0,4,20,NA
"sosaed01",2023,104,104,279,34,70,15,2,10,30,4,2,8,74,0,9,2,1,10,NA
"sosale01",2023,52,52,164,12,33,6,0,6,14,0,1,5,40,1,0,3,1,3,NA
"sotoju01",2023,162,162,568,97,156,32,1,35,109,12,5,132,129,11,2,1,5,18,NA
"sotoli01",2023,4,4,9,2,2,0,0,0,0,0,0,3,2,0,0,0,0,0,NA
"springe01",2023,154,154,613,87,158,25,1,21,72,20,5,60,125,1,5,0,3,20,NA
"stallja01",2023,89,88,241,22,46,14,0,3,20,0,0,27,67,0,3,3,2,9,NA
"stantmi03",2023,101,101,371,43,71,13,0,24,60,0,0,41,124,3,2,0,1,11,NA
"steersp01",2023,156,156,582,74,158,37,3,23,86,15,3,68,139,0,11,0,4,9,NA
"stefami01",2023,25,25,62,5,18,2,1,0,6,0,1,8,8,0,1,0,0,0,NA
"stephty01",2023,142,142,465,59,113,20,2,13,56,0,1,47,135,2,4,0,1,16,NA
"stevean01",2023,25,25,37,4,7,1,0,0,1,4,1,2,8,0,1,0,0,0,NA
"steveca01",2023,6,6,9,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,NA
"stewadj01",2023,58,58,160,21,39,9,0,11,26,1,1,15,56,0,7,1,1,3,NA
"storytr01",2023,43,43,158,12,32,9,0,3,14,10,3,9,55,0,1,0,0,2,NA
"stottbr01",2023,151,151,585,78,164,32,2,15,62,31,3,39,100,1,7,1,8,10,NA
"stoweky01",2023,14,14,30,1,2,0,0,0,0,0,0,3,12,0,0,0,0,1,NA
"strawmy01",2023,147,147,462,52,110,18,3,1,29,20,6,42,97,0,2,6,6,10,NA
"stubbga01",2023,41,41,113,15,23,4,1,1,12,2,0,9,29,0,2,1,0,0,NA
"suareeu01",2023,162,162,598,68,139,29,0,22,96,2,1,70,214,0,15,0,11,10,NA
"sullibr01",2023,33,33,81,7,17,3,0,1,6,0,0,4,19,0,0,0,1,1,NA
"suwinja01",2023,144,144,447,63,100,21,2,26,74,13,2,75,172,2,6,0,6,2,NA
"suzukse01",2023,138,138,515,75,147,31,6,20,74,6,7,59,130,3,2,0,7,8,NA
"swansda01",2023,147,147,565,81,138,25,3,22,80,9,1,66,154,0,5,0,2,9,NA
"tapiara01",2023,64,64,148,28,35,4,1,3,13,10,2,17,40,0,1,1,1,2,NA
"tatisfe02",2023,141,141,575,91,148,33,1,25,78,29,4,53,141,0,3,1,3,17,NA
"tauchmi01",2023,108,108,337,64,85,18,0,8,48,7,1,56,86,1,4,1,3,3,NA
"taverle01",2023,143,143,511,67,136,31,3,14,67,14,4,35,117,0,1,3,4,3,NA
"tayloch03",2023,117,117,338,51,80,15,1,15,56,16,3,41,125,2,4,0,1,2,NA
"taylomi02",2023,129,129,355,48,78,14,1,21,51,13,1,26,130,0,3,3,1,7,NA
